"Letzte Änderung: 5.6.2026, 18:41:09",Aktionspackung,,,abgelaufen,,,,,,,,,,
,Aktionssticker / Etikett / Coupon,,,weniger als 7 Tage,,,,,,,,,,
Produktbild,Aktionsbeschreibung,Kontingent,Zeitpunkt,Aktions- ende,Einsende- schluss,Einreichungs- frist (nach Kauf),Art der Teilnahme,Begründung / Feedback,Art des Kaufbeleges,SMS Bestätigung,Aktionsseite / Aktionshinweis,mydealz Link,abwickelnde Agentur & Zahlungsdienstleister,Hinzu- gefügt
,"Heineken Bier 0,0%
250ml Flasche oder 330ml Dose",15.000 Teilnehmer insgesamt,-,31.05.2026,07.06.2026,bis zur Erreichung des Teilnehmerlimits,,nein,Foto/Scan,nein,https://www.heineken.com/de/de/gratistesten/,https://www.mydealz.de/2754653,"caspar company GmbH
Zahlungsdienstleister: Continental Payment GmbH",27.03.2026
,"Agrarfrost Kartoffel-TK-Produkte
drei Produkte kaufen - 5€ Cashback erhalten",150 Teilnehmer täglich,täglich ab 00:00 Uhr,31.05.2026,07.06.2026,-,,nein,Foto/Scan,nein,https://agrarfrost-aktion.de,https://www.mydealz.de/2743743,,07.05.2026
,always Ultra Binden Big Pack,-,-,31.05.2026,15.06.2026,-,,nein,Foto,ja,https://www.for-me-online.de/always-cashback,https://www.mydealz.de/2739963,JustSnap GmbH,03.03.2026
,"Danone Activia kefir 
mild Erdbeer-Geschmack und/oder mild Natur
bis zu zwei Flaschen - max. 2x 1,39€ Erstattung","Deutschland 🇩🇪 40.000 Teilnehmer |
Österreich 🇦🇹 4.000 Teilnehmer insgesamt",-,"Deutschland 🇩🇪: 03.05.2026

Österreich 🇦🇹: 07. Juni 2026","Deutschland 🇩🇪: 04.05.2026

Österreich 🇦🇹: 08. Juni 2026",-,,nein,Foto/Scan,nein,https://gratis.activia.de/,https://www.mydealz.de/2742539,"UGW Communication GmbH
Zahlungsdienstleister: secupay AG",06.03.2026
,Tony's Chocolonely 90g oder 180g Tafel,"2.222 Teilnehmer pro Woche - 
30.000 Teilnehmer insgesamt",Montags ab 09:00 Uhr,14.06.2026,14.06.2026,-,,nein,Foto/Scan,nein,https://tonys-testen.de,https://www.mydealz.de/2740977,"acardo group AG
Zahlungsdienstleister: Novalnet AG",03.03.2026
,"AXE Fine Fragrance Body Wash Duschgele 
nur bei dm-drogerie markt, Rossmann, Müller, Budni und Kaufland",2.500 Teilnehmer pro Tag,täglich ab 08:00 Uhr,14.06.2026,16.06.2026,-,Begründung,nein,Foto/Scan,nein,https://aktionen.oca-services.com/teilnahmeformular/axe/de-de/fine-fragrance-bodywash-gratis-testen#/,https://www.mydealz.de/2782449,"SAFE Promotions GmbH 
Zahlungsdienstleister: secupay AG",19.05.2026
,"Lenor Waschmittel (Flüssig, Pulver oder All-in-1 PODS)",-,-,15.06.2026,30.06.2026,,,nein,Foto,ja,https://www.for-me-online.de/lenor-waschmittel,https://www.mydealz.de/2724521,JustSnap GmbH,07.02.2026
,Lenor Wäscheparfüm 155gr (Aprilfrisch oder Frische Baumwollblüte oder Unstoppables Fresh),-,-,15.06.2026,30.06.2026,,,nein,Foto,ja,https://www.for-me-online.de/lenor-wascheparfum,https://www.mydealz.de/2724521,JustSnap GmbH,07.02.2026
,"Centrum BIOTIC+ IMMUN oder VITAL oder ALL-IN-ONE
nur bei dm-drogerie markt",10.000 Teilnehmer insgesamt - wechselndes wöchentliches Kontingent,-,"30.04.2026

15.06.2026","30.05.2026

15.07.2026",mindestens 30 Tage testen,,nein,Foto/Scan,ja,https://www.erlebe-haleon.de/deals/centrum/,https://www.mydealz.de/2741402,"Baudek & Schierhorn Shopper Marketing GmbH
Zahlungsdienstleister: finXP Limited",03.03.2026
,TENA Produkte für Frauen & Männer,50.000 Teilnehmer insgesamt,-,"31.05.2026

21.06.2026","31.05.2026

21.06.2026",bis zur Erreichung des Teilnehmerlimits,,nein,Foto/Scan,nein,https://try.tena.com/de/aktionen/gratis-testen/,https://www.mydealz.de/2700642,"CH Couponing House GmbH 
Zahlungsdienstleister: secupay AG",03.01.2026
,NIVEA Derma Control Clinical Deo,4.000 Teilnehmer pro Tag,täglich ab 04:00 Uhr,21.06.2026,05.07.2026,-,Begründung,nein,Foto,nein,https://www.nivea.de/gratisdeo,https://www.mydealz.de/deals/2782467,JustSnap GmbH,19.05.2026
,"Desperados Tropical Daiquiri Bier-Mixgetränk
330ml Flasche oder 500ml Dose",15.000 Teilnehmer insgesamt,-,28.06.2026,05.07.2026,bis zur Erreichung des Teilnehmerlimits,,nein,Foto/Scan,nein,https://www.desperados.com/de/de/gratistesten/,https://www.mydealz.de/2766180,"caspar company GmbH
Zahlungsdienstleister: Continental Payment GmbH",20.04.2026
,"Purina Gourmet Revelations Katzennahrungsprodukte
min. zwei Produkte - max. 6,58€ Erstattung",Es wird ein Gesamtbetrag von 65.800€ ausgeschüttet.,-,28.06.2026,12.07.2026,bis zur Erreichung des Teilnehmerlimits,nein,nein,Foto/Scan,nein,https://www.purina.de/aktion/gourmet,https://www.mydealz.de/2772290,"Baudek & Schierhorn Shopper Marketing GmbH
Zahlungsdienstleister: finXP Limited",30.04.2026
,Cheez-it Double Cheese oder Cheese & Chili 120g,7.500 Teilnehmer pro Woche,-,30.06.2026,30.06.2026,-,,nein,Foto/Scan,nein,https://cheezit-aktion.de/,https://www.mydealz.de/2617136,"IMPLIZIT GmbH
Zahlungsdienstleister: secupay AG",15.08.2025
,"HENGSTENBERG Salate to Go
- CousCousSalat Pflaume, Paprika und Ingwer
- Bulgur Tomate & Karotte
- Bulgur rote Beete, Senfsaat & Dill",unbekanntes (monatliches) Budget,,30.06.2026,30.06.2026,bis zur Erreichung des Teilnehmerlimits,,nein,Foto/Scan,nein,https://www.salate-to-go.de,https://www.mydealz.de/2776857,"Viva Marketing GmbH
Zahlungsdienstleister: secupay AG",12.05.2026
,"tetesept®️ Melatonin Einschlaf-Spray 2,0 mg

max. 7.99€ Erstattung",16.863 Teilnehmer insgesamt,-,30.06.2026,07.07.2026,bis zur Erreichung des Teilnehmerlimits,nein,nein,Foto/Scan,nein,https://tetesept-aktion.de/melatoninspray,https://www.mydealz.de/2790515,SAVI Marketing GmbH,05.06.2026
,NESCAFÉ frappé ᵀʸᵖ Eiskaffee,60.000 Teilnehmer insgesamt,-,30.06.2026,15.07.2026,bis zur Erreichung des Teilnehmerlimits,,nein,Foto/Scan,nein,https://www.nescafe.com/de/unsere-aktionen/frappe-gratis-testen,https://www.mydealz.de/2743054,"Baudek & Schierhorn Shopper Marketing GmbH
Zahlungsdienstleister: finXP Limited",06.03.2026
,"SOMAT Power Gel all in 1 (67 AW) oder 
Excellence Premium 5in1 Gel Power & Perls (60 AW)",1.208 Teilnahmen täglich - 373.272 Teilnahmen insgesamt,täglich ab 09:00 Uhr,30.06.2026,15.07.2026,-,,nein,Foto/Scan,nein,https://gratis.testen.somat.de,https://www.mydealz.de/2755020,"acardo group AG
Zahlungsdienstleister: Novalnet AG",27.03.2026
,"Whiskas Katzennahrungsprodukte
max. 5€ Erstattung",1.000 Teilnehmer pro Woche,stündlich neue Kontingente zwischen 07:00 und 22:00 Uhr,01.07.2026,01.07.2026,-,,nein,Foto/Scan,nein,https://purrorpass.whiskas.de/aktion/de-de/claim/enter/,https://www.mydealz.de/2717239,BE:TWO GmbH / VCG - The PromoRisk People Ltd / Musalek Werbeservice GmbH,15.01.2026
