"Letzte Änderung: 13.8.2026, 19:51:03",Aktionspackung,,,abgelaufen,,,,,,,,,,
,Aktionssticker / Etikett / Coupon,,,weniger als 7 Tage,,,,,,,,,,
Produktbild,Aktionsbeschreibung,Kontingent,Zeitpunkt,Aktions- ende,Einsende- schluss,Einreichungs- frist (nach Kauf),Art der Teilnahme,Begründung / Feedback,Art des Kaufbeleges,SMS Bestätigung,Aktionsseite / Aktionshinweis,mydealz Link,abwickelnde Agentur & Zahlungsdienstleister,Hinzu- gefügt
,COTTONELLE Feuchtes Toilettenpapier Ultimativ Frisch 42 Tücher,"604 Teilnehmer pro Tag - 
36.871 Teilnehmer insgesamt",täglich ab 08:00 Uhr,31.07.2026,15.08.2026,-,nein,nein,Foto/Scan,nein,https://cottonelle-aktion.de/cashback,https://www.mydealz.de/2788354,SAVI Marketing GmbH,02.06.2026
,always Discreet Inkontinenz Maxi,-,-,31.07.2026,15.09.2026,-,,nein,Foto,ja,https://www.for-me-online.de/always-discreet,https://www.mydealz.de/2757299,JustSnap GmbH,01.04.2026
,"BiFi Tasty Bites 
- Hungarian Paprika Salami Stick 50g
- Italian Parmesan Thyme Chicken 50g",333 Teilnehmer pro Tag,täglich ab 08:00 Uhr,23.08.2026,23.08.2026,-,,nein,Foto/Scan,nein,https://bifi-promotion.de/,https://www.mydealz.de/2797188,"REINBOLDROST GmbH & Co. KG
Zahlungsdienstleister: savi marketing GmbH",13.07.2026
,WC-Ente Frische-Siegel Halter,"1.000 Teilnehmer pro Tag
42.000 Teilnehmer insgesamt",täglich ab 08:00 Uhr,23.08.2026,30.08.2026,-,Online- Teilnahme,nein,Foto/Scan,nein,https://wc-ente-aktion.com,https://www.mydealz.de/2780564,SAVI Marketing GmbH,19.05.2026
,"ZOTT Pure Joy Joghurtalternative 
bis zu zwei Produkte pro Person 
pro Haushalt bis zu drei Mal möglich
pro zwei Artikel max. 1,98€ Erstattung","1.111 Teilnehmer pro Woche
28.886 Teilnehmer insgesamt",montags ab 09:00 Uhr,31.08.2026,31.08.2026,-,,nein,Foto/Scan,nein,https://purejoy-gratis-testen.de,https://www.mydealz.de/2741802,"Baudek & Schierhorn Shopper Marketing GmbH
Zahlungsdienstleister: finXP Limited",03.03.2026
,Deli Reform Omega-3 Daily rein pflanzliche Halbfettmagerine,"100 Teilnehmer pro Tag
9.000 Teilnehmer insgesamt",täglich ab 08:00 Uhr,31.08.2026,31.08.2026,,,nein,Foto/Scan,nein,https://www.deli-gratis-testen.de,https://www.mydealz.de/2785453,"REINBOLDROST GmbH & Co. KG
Zahlungsdienstleister: savi marketing GmbH",01.06.2026
,CD Antitranspirant Pure & Protect,50.000 Teilnehmer insgesamt,-,31.08.2026,31.08.2026,bis zur Erreichung des Teilnehmerlimits,,nein,Foto/Scan,nein,https://www.cd-gratis-testen.de/,https://www.mydealz.de/2793663,"Viva Marketing GmbH
Zahlungsdienstleister: secupay AG",11.06.2026
,"Zott Monte Ice Cream
max. 5,49€ Erstattung
Teilnahme per wöchentlicher Auslosung!
",200 Teilnehmer pro Woche - 5.000 Erstattungen insgesamt,montags ab 00:00 Uhr,28.09.2026,28.09.2026,-,,nein,Foto/Scan,nein,https://monte-eis-testen.de,https://www.mydealz.de/2737030,"Baudek & Schierhorn Shopper Marketing GmbH
Zahlungsdienstleister: finXP Limited",08.04.2026
,ROYAL CANIN Tiernahrung,-,-,31.12.2026,31.12.2026,-,,Begründung,Foto/Scan,nein,https://www.royalcanin.com/de/about-us/acceptance-guarantee,https://www.mydealz.de/2571752,Kjero GmbH,12.03.2026
,"ROCKSTAR Mocktail 0,33l EW Dose
drei Teilnahmen pro Teilnehmer möglich
pauschale Erstattung von 1,19€ (exkl. Pfand) pro Dose",2.500 Einlösungen pro Woche - 100.000 insgesamt,-,30.06.2026,28.02.2027,bis zur Erreichung des Teilnehmerlimits,nein,nein,nur Code,nein,https://www.rockstarenergy.de/mocktails-aktion,https://www.mydealz.de/2790687,"G.V.K. mbH
caspar company GmbH
Zahlungsdienstleister: secupay AG",05.06.2026
,"PLATINUM Hundefutter
Rückgabe bei Nichtgefallen 
kostenlose Abholung",-,-,Daueraktion,-,max. 100 Tage,,Begründung,Original,nein,https://www.platinum.com/Geld-zurueck-Garantie/,,PLATINUM GmbH & Co. KG,23.04.2015
,"odaban® Spray | Gel | Fußpuder
Rückgabe bei Nichtgefallen 
ohne Versandkosten- Erstattung!",-,-,Daueraktion,-,max. 60 Tage,,Begründung,Original,nein,https://odaban.de/pages/geld-zuruck-garantie,,Guthy-Renker International GmbH,
,"O'Keefe's Pflegeprodukte
Rückgabe bei Nichtgefallen
ohne Versandkosten- Erstattung!",-,-,Daueraktion,-,-,,Begründung,Original,nein,https://www.okeeffesco.de/,,Kaufmann Neuheiten GmbH,
,"RASCALS Babywindeln 
Erstattung oder Austausch bei Unzufriedenheit",-,-,Daueraktion,-,max. 30 Tage,,Begründung,Foto/Scan,nein,https://www.rascalsbaby.com/de-de/money-back-guarantee,https://www.mydealz.de/2572263,Rascals International Limited,22.05.2025
,► Weitere Geld-zurück-Aktionen mit anteiligem Cashback findet ihr im nächsten Tabellenblatt!,,,,,,,,,,,,,
,Alle Angaben ohne Gewähr!,,,,,,,,,,,,,
,Fehler oder weitere Aktion entdeckt?,,,,,,,,,,,,,
,► Sammelthread auf mydealz,,,,,,,,,,,,,
,"► PN an CashBackBär, TheNittyGritty oder mayor",,,,,,,,,,,,,
,► Bereits abgelaufene Aktionen befinden sich in dieser separaten Tabelle achiviert.,,,,,,,,,,,,,
